FirstName,LastName,Gender,DateOfBirth,PhoneNumber,BirthPlace,IsGraduated
Falkner,Allwell,1,2001/09/20,795-797-3031,8440 Sutteridge Lane,false
Georgina,Filintsev,0,2002/02/09,543-887-1013,9 Brentwood Crossing,false
Edik,Smitheman,1,1993/11/06,339-375-0128,81 Cherokee Place,false
Zabrina,Reignould,1,1995/03/22,473-656-8116,15567 Armistice Drive,false
Roland,Gillam,1,1994/11/08,453-864-5433,1 1st Court,true
Wendi,Lincey,0,2001/01/19,570-407-9506,43 Crowley Pass,true
Tomaso,Duckels,0,2000/08/24,418-959-4032,98 Pine View Terrace,true
Amberly,Magwood,0,1992/10/07,250-403-2263,6 Gateway Pass,false
Weidar,Morshead,1,1995/02/02,451-856-6061,047 Claremont Plaza,true
Albertina,Szach,1,1999/10/22,531-640-2586,12 Arizona Plaza,false
Amelita,Marusik,0,1993/03/26,322-907-8824,4 Muir Crossing,false
Cassie,Linham,2,1992/11/25,475-588-6416,1 Browning Alley,false
Kati,Lemmanbie,2,1999/11/26,778-603-4070,82 5th Place,true
Wally,Kensett,2,1996/06/01,875-229-9574,71 Havey Circle,true
Bart,Dawes,1,1991/05/16,448-239-9173,5 Montana Street,true
Eadie,Densey,0,1993/01/28,494-948-1035,1999 Hintze Pass,false
Kial,Gingold,0,1996/12/21,578-526-3304,48 Westend Point,false
Tricia,Tournay,1,2000/05/06,692-172-6292,924 Scoville Hill,true
Aryn,Teulier,1,2001/12/23,491-404-2685,013 Heath Place,false
Charlene,Impy,0,1995/11/13,799-760-1318,4 Thompson Crossing,true
Alvy,Peyton,1,1994/02/26,921-699-1461,865 Springview Way,false
Benito,Rushsorth,0,1993/12/23,209-188-6936,21349 Hanover Junction,true
Carla,Humbles,1,1997/02/27,753-468-2421,923 Lunder Court,false
Burg,Lothean,1,1999/07/21,678-180-3056,6642 Armistice Drive,true
Ludwig,Poile,2,1995/05/07,531-835-8724,243 Crescent Oaks Park,false
Tiphanie,Roome,1,1998/08/10,781-784-1005,4068 Gulseth Trail,true
Joceline,Seckington,0,1998/07/31,917-506-7851,4078 Marquette Hill,false
Drusi,Scirman,2,1992/04/14,760-483-0297,1977 1st Lane,true
Mathilde,Puttrell,1,2000/08/06,840-714-0317,77 Surrey Circle,false
Heidie,Zucker,2,1995/03/22,943-274-8979,272 Waxwing Drive,false
Yalonda,Riolfo,2,1990/05/17,747-291-2090,806 Pleasure Parkway,true
Fredi,Franciotti,0,1999/10/06,225-808-1547,8054 Ilene Street,true
Packston,Bugler,2,2002/01/20,510-747-4855,2601 Rieder Parkway,true
Miltie,Kenford,1,2001/01/30,596-449-5393,11 Oxford Street,false
Armando,Anthoney,0,1999/03/22,414-181-8242,453 Rieder Court,false
Ferdinanda,Skone,1,2002/03/17,419-157-3940,16192 Helena Park,true
Starla,Gallienne,0,1999/03/14,987-504-4721,26 Stuart Street,true
Aliza,Gemelli,2,1995/12/09,773-287-4946,5317 Spohn Hill,true
Opalina,Birkmyre,2,1994/12/02,250-883-1522,9 Nova Drive,false
Pancho,Bogaert,2,1999/02/04,915-297-5018,330 Thackeray Point,false
Lanna,Greger,2,1993/09/19,934-563-7242,3 Maple Wood Road,true
Willette,Marshal,2,1993/06/23,892-244-6374,74 Morning Plaza,true
Ruthy,Coiley,2,1996/04/18,485-400-5169,1736 1st Crossing,false
